Sale ID,Salesperson,First Name,Last Name,VIP,Date of Birth,Gender,Country,Item Quantity,Item Price,Item Colour,Item Size,Item Range,Item COGS,Item Profit,PurchaseDate
32,8,Dominga,Dillard,Y,4/05/1990,F,United Kingdom,6,194.82,COLOUR-WHITE,SIZE-M,RANGE-SHIRT,163.6488,31.1712,29/05/2014
33,5,Geoffrey,Huber,Y,8/02/1960,M,New Zealand,10,263,COLOUR-BLACK,SIZE-XL,RANGE-OTHER,134.13,128.87,17/03/2014
34,9,Jacqualine,van Niekerk,N,1/07/1985,F,New Zealand,10,404.8,COLOUR-WHITE,SIZE-XL,RANGE-OTHER,331.936,72.864,6/01/2014
35,6,Dylan,Doyle,N,14/11/1951,M,United Kingdom,7,210,COLOUR-BLACK,SIZE-L,RANGE-OTHER,136.5,73.5,30/08/2014
36,10,Sherika,Elliott,N,22/02/1986,F,United Kingdom,2,59.9,COLOUR-WHITE,SIZE-XXL,RANGE-OTHER,26.955,32.945,24/06/2014
37,8,Salvador,de Jonge,Y,5/11/1943,M,Australia,7,61.67,COLOUR-BLACK,SIZE-S,RANGE-OTHER,32.6851,28.9849,10/01/2014
38,9,Kendal,Anderson,Y,22/02/1952,F,United Kingdom,8,247.12,COLOUR-BLUE,SIZE-S,RANGE-JACKET,214.9944,32.1256,29/03/2014
39,6,Theron,van Setten,Y,1/01/1934,M,United Kingdom,3,60.06,COLOUR-BLACK,SIZE-S,RANGE-SHIRT,34.2342,25.8258,5/02/2014
40,8,Alease,Tjerks,Y,23/02/1968,F,New Zealand,10,340.8,COLOUR-BLACK,SIZE-XXL,RANGE-SHIRT,269.232,71.568,24/07/2014
41,8,Alan,Park,Y,26/08/1979,M,New Zealand,4,121,COLOUR-BLACK,SIZE-M,RANGE-JACKET,54.45,66.55,23/07/2014
42,4,Altagracia,Weiss,N,11/06/1945,F,Australia,1,79.5,COLOUR-BLACK,SIZE-L,RANGE-PANT,44.52,34.98,10/06/2014
43,3,Takisha,Hubbard,N,28/08/1964,F,Australia,2,60.5,COLOUR-BLUE,SIZE-S,RANGE-JACKET,49.005,11.495,31/07/2014
44,4,Alta,Groeneveld,N,29/01/1961,F,New Zealand,2,70.48,COLOUR-GREEN,SIZE-M,RANGE-JACKET,38.0592,32.4208,19/05/2014
45,6,Ivette,Shepherd,Y,9/01/1939,F,United States,8,222.88,COLOUR-BLACK,SIZE-S,RANGE-PANT,104.7536,118.1264,26/12/2013
46,5,Annmarie,Frey,N,26/09/1984,F,United Kingdom,8,220,COLOUR-BLUE,SIZE-L,RANGE-PANT,107.8,112.2,24/11/2013
47,5,Jennell,van der Zanden,N,4/12/1951,F,United Kingdom,4,230.16,COLOUR-BLUE,SIZE-XXL,RANGE-JACKET,131.1912,98.9688,11/06/2014
48,3,Marvis,van Bentem,N,30/12/1964,F,Australia,10,1579,COLOUR-GREEN,SIZE-XL,RANGE-PANT,931.61,647.39,29/01/2014
49,5,Thaddeus,Callander,N,6/12/1986,M,United Kingdom,5,77.15,COLOUR-BLACK,SIZE-S,RANGE-OTHER,65.5775,11.5725,13/05/2014
50,3,Kyle,van Zijderveld,N,18/02/1984,M,New Zealand,2,39.98,COLOUR-WHITE,SIZE-XXL,RANGE-SHIRT,18.3908,21.5892,29/06/2014
51,2,Vicenta,Bosschaart,Y,12/05/1943,F,New Zealand,4,10.96,COLOUR-WHITE,SIZE-S,RANGE-PANT,7.7816,3.1784,1/11/2013
52,4,Josh,Stephens,N,20/10/1937,M,United Kingdom,7,369.6,COLOUR-BLACK,SIZE-S,RANGE-OTHER,251.328,118.272,26/09/2014
53,1,Caleb,Keith,Y,18/09/1994,M,Australia,9,731.25,COLOUR-GREEN,SIZE-XL,RANGE-PANT,416.8125,314.4375,30/09/2013
54,2,Marcellus,Knibbe,N,12/04/1959,M,United Kingdom,7,77.14,COLOUR-BLUE,SIZE-M,RANGE-JACKET,42.427,34.713,27/07/2014
55,5,Myesha,Fletcher,N,6/10/1959,F,New Zealand,5,323.95,COLOUR-BLACK,SIZE-L,RANGE-PANT,272.118,51.832,5/08/2014
56,8,Chase,Stephenson,Y,11/02/1936,M,United States,10,329,COLOUR-GREEN,SIZE-XL,RANGE-PANT,190.82,138.18,28/12/2013
57,3,Kent,Clemons,N,12/03/1971,M,Australia,2,90,COLOUR-WHITE,SIZE-XL,RANGE-PANT,45,45,18/07/2014
58,7,Jerrell,Schwartz,N,2/06/1939,M,United Kingdom,7,210,COLOUR-BLUE,SIZE-L,RANGE-JACKET,132.3,77.7,8/02/2014
59,9,Lucie,Lam,N,6/02/1942,F,New Zealand,9,107.55,COLOUR-BLACK,SIZE-XXL,RANGE-OTHER,68.832,38.718,13/10/2013
60,6,Jimmie,King,N,13/12/1979,M,United Kingdom,1,71.25,COLOUR-BLACK,SIZE-XXL,RANGE-PANT,40.6125,30.6375,11/02/2014
61,3,Tereasa,Lindsey,N,24/06/1944,F,United States,5,110.3,COLOUR-BLACK,SIZE-M,RANGE-OTHER,91.549,18.751,4/09/2014
62,4,Shellie,Holcomb,Y,16/07/1956,F,Australia,5,17.45,COLOUR-BLACK,SIZE-L,RANGE-JACKET,13.0875,4.3625,7/05/2014
63,3,Lashanda,Bosch,N,31/03/1975,F,New Zealand,9,142.11,COLOUR-BLACK,SIZE-S,RANGE-SHIRT,88.1082,54.0018,28/12/2013
64,6,Viviana,Stam,Y,7/02/1947,F,United Kingdom,9,269.55,COLOUR-BLACK,SIZE-XL,RANGE-PANT,226.422,43.128,4/02/2014
65,9,Amiee,Heuff,N,7/07/1943,F,United Kingdom,2,106.92,COLOUR-GREEN,SIZE-M,RANGE-PANT,81.2592,25.6608,7/07/2014
66,6,Tyler,Cleveland,N,21/12/1966,M,United Kingdom,6,419.4,COLOUR-GREEN,SIZE-L,RANGE-PANT,205.506,213.894,8/06/2014
67,10,Isreal,Conner,N,25/02/1944,M,United Kingdom,1,6,COLOUR-WHITE,SIZE-M,RANGE-OTHER,4.08,1.92,18/01/2014
68,10,Liane,van Eyk,N,31/12/1985,F,Australia,6,1114.2,COLOUR-WHITE,SIZE-S,RANGE-PANT,690.804,423.396,19/02/2014
69,7,Kathe,Groeneveld,Y,30/11/1956,F,United Kingdom,10,254.4,COLOUR-BLACK,SIZE-XXL,RANGE-JACKET,203.52,50.88,24/07/2014
70,1,Jann,Lang,Y,31/08/1994,F,United States,8,56,COLOUR-WHITE,SIZE-M,RANGE-OTHER,45.36,10.64,24/06/2014
71,5,Kiera,Simmons,Y,15/03/1996,F,United States,10,450,COLOUR-BLACK,SIZE-XXL,RANGE-PANT,369,81,7/03/2014
72,6,Valentine,Hoedenmaker,Y,26/01/1944,M,United States,8,402.16,COLOUR-GREEN,SIZE-M,RANGE-OTHER,333.7928,68.3672,23/10/2013
73,2,Alleen,Morris,N,4/07/1964,F,New Zealand,3,59.76,COLOUR-WHITE,SIZE-XL,RANGE-SHIRT,40.6368,19.1232,19/05/2014
74,10,Rodrick,Sherman,Y,7/05/1954,M,New Zealand,3,47.79,COLOUR-BLUE,SIZE-L,RANGE-PANT,28.1961,19.5939,13/07/2014
75,9,Kathrine,Zavala,N,23/04/1974,F,Australia,8,72.8,COLOUR-GREEN,SIZE-M,RANGE-JACKET,60.424,12.376,22/04/2014
76,4,Danilo,van Pelt,N,3/03/1961,M,New Zealand,8,230.24,COLOUR-GREEN,SIZE-L,RANGE-PANT,188.7968,41.4432,28/05/2014
77,9,Claude,Ayers,N,16/02/1947,M,Australia,7,19.04,COLOUR-BLUE,SIZE-XXL,RANGE-PANT,12.1856,6.8544,8/10/2013
78,8,Johnetta,van Steenis,N,19/10/1951,F,New Zealand,8,203.6,COLOUR-WHITE,SIZE-L,RANGE-SHIRT,134.376,69.224,3/12/2013
79,5,Merideth,Callahan,N,9/02/1947,F,United Kingdom,2,25.08,COLOUR-GREEN,SIZE-XXL,RANGE-PANT,19.3116,5.7684,24/05/2014
80,3,Dierdre,Drinhuijzen,Y,22/09/1985,F,Australia,5,64.75,COLOUR-BLUE,SIZE-XL,RANGE-JACKET,36.9075,27.8425,22/09/2013
81,1,Rupert,Boonzayer,Y,9/11/1953,M,United States,3,80.88,COLOUR-BLUE,SIZE-XXL,RANGE-PANT,59.0424,21.8376,26/01/2014
82,4,Josefina,Richmond,Y,16/09/1960,F,United States,2,39.4,COLOUR-WHITE,SIZE-M,RANGE-SHIRT,30.732,8.668,18/03/2014
83,3,Xavier,de Vries,Y,11/12/1960,M,United States,4,128,COLOUR-GREEN,SIZE-S,RANGE-JACKET,66.56,61.44,21/07/2014
84,4,Cory,Gregory,N,26/07/1965,M,United Kingdom,5,587.15,COLOUR-WHITE,SIZE-XL,RANGE-SHIRT,475.5915,111.5585,2/09/2014
85,4,Romeo,Kelley,N,11/07/1995,M,United Kingdom,6,729.6,COLOUR-WHITE,SIZE-L,RANGE-JACKET,634.752,94.848,4/08/2014
86,2,Elias,van der Spank,Y,12/07/1972,M,New Zealand,1,24.04,COLOUR-BLUE,SIZE-L,RANGE-SHIRT,20.434,3.606,10/02/2014
87,10,Cherilyn,Savage,N,3/10/1993,F,New Zealand,6,201.3,COLOUR-GREEN,SIZE-M,RANGE-JACKET,138.897,62.403,17/08/2014
88,10,Maura,Ello,N,22/09/1989,F,Australia,2,38.88,COLOUR-GREEN,SIZE-XXL,RANGE-PANT,26.0496,12.8304,15/01/2014
89,5,Arron,Ritter,Y,11/09/1956,M,United Kingdom,6,189,COLOUR-BLUE,SIZE-M,RANGE-SHIRT,98.28,90.72,20/01/2014
90,5,Luther,van den Berg,N,5/04/1995,M,New Zealand,4,116,COLOUR-BLUE,SIZE-XL,RANGE-JACKET,58,58,16/03/2014
91,2,Lecia,Andersen,Y,26/06/1992,F,United Kingdom,7,262.5,COLOUR-WHITE,SIZE-S,RANGE-JACKET,199.5,63,16/01/2014
92,7,Kirby,Jones,N,14/11/1945,M,United States,8,152.16,COLOUR-BLUE,SIZE-L,RANGE-SHIRT,103.4688,48.6912,1/06/2014
93,4,Alfonso,Pietersen,N,10/01/1945,M,Australia,1,70.03,COLOUR-GREEN,SIZE-S,RANGE-SHIRT,42.018,28.012,3/02/2014
94,1,Albertine,Mcdonald,Y,26/01/1972,F,New Zealand,7,60.55,COLOUR-BLACK,SIZE-M,RANGE-JACKET,29.6695,30.8805,12/07/2014
95,2,Desirae,Zavala,N,6/09/1986,F,Australia,2,12.98,COLOUR-BLUE,SIZE-M,RANGE-OTHER,8.3072,4.6728,18/12/2013
96,5,Alden,Hudson,N,9/06/1959,M,United States,7,431.55,COLOUR-GREEN,SIZE-M,RANGE-JACKET,258.93,172.62,27/09/2013
97,4,Dorathy,Smith,N,15/10/1971,F,New Zealand,3,33.75,COLOUR-BLACK,SIZE-M,RANGE-PANT,27,6.75,13/02/2014
98,1,Patsy,Wilder,N,4/02/1940,F,United Kingdom,9,360.09,COLOUR-WHITE,SIZE-M,RANGE-OTHER,291.6729,68.4171,16/10/2013
99,9,Lashawnda,Welch,Y,11/05/1958,F,United States,1,32.74,COLOUR-GREEN,SIZE-XXL,RANGE-SHIRT,28.4838,4.2562,24/01/2014
100,7,Jay,Koch,Y,1/11/1960,M,United States,7,342.09,COLOUR-WHITE,SIZE-M,RANGE-JACKET,253.1466,88.9434,9/11/2013
101,4,Mona,Haynes,Y,4/11/1981,F,Australia,2,98.92,COLOUR-BLACK,SIZE-S,RANGE-OTHER,84.082,14.838,31/07/2014
102,10,Elina,Andersen,N,25/08/1952,F,United Kingdom,7,735.21,COLOUR-BLUE,SIZE-XXL,RANGE-SHIRT,595.5201,139.6899,26/02/2014
103,6,Arden,Delaney,N,8/01/1953,M,United Kingdom,9,298.26,COLOUR-WHITE,SIZE-S,RANGE-SHIRT,167.0256,131.2344,2/10/2013
104,8,Sherly,Pacheco,N,20/08/1949,F,United Kingdom,3,78.54,COLOUR-BLUE,SIZE-L,RANGE-SHIRT,59.6904,18.8496,2/10/2013
105,10,Zaida,Dennis,Y,13/02/1958,F,United States,8,127.28,COLOUR-GREEN,SIZE-S,RANGE-OTHER,94.1872,33.0928,21/12/2013
106,8,Bart,Owen,Y,4/05/1971,M,United States,5,181.25,COLOUR-BLACK,SIZE-S,RANGE-PANT,157.6875,23.5625,17/04/2014
107,4,Darrick,Joseph,N,11/12/1986,M,United States,1,17,COLOUR-GREEN,SIZE-S,RANGE-OTHER,14.45,2.55,25/09/2014
108,1,Reid,Rodgers,N,24/06/1968,M,United Kingdom,7,339.43,COLOUR-BLACK,SIZE-M,RANGE-SHIRT,268.1497,71.2803,25/08/2014
109,1,Leanne,Khan,N,9/10/1963,F,United Kingdom,1,23,COLOUR-WHITE,SIZE-XXL,RANGE-JACKET,11.04,11.96,18/04/2014
110,7,Jeannine,Randall,Y,21/10/1980,F,Australia,10,42.9,COLOUR-BLACK,SIZE-XL,RANGE-SHIRT,22.737,20.163,24/06/2014
111,9,Theressa,van Barneveld,N,6/04/1949,F,New Zealand,10,300,COLOUR-WHITE,SIZE-M,RANGE-PANT,216,84,22/08/2014
112,7,Helaine,Fraenkel,Y,19/05/1941,F,United Kingdom,7,140.14,COLOUR-BLACK,SIZE-S,RANGE-OTHER,112.112,28.028,10/03/2014
113,3,Jess,Bradshaw,Y,1/07/1962,M,United Kingdom,3,2.61,COLOUR-WHITE,SIZE-S,RANGE-SHIRT,1.9575,0.6525,22/12/2013
114,5,Hilton,Cherry,Y,12/07/1939,M,New Zealand,7,346.64,COLOUR-GREEN,SIZE-XXL,RANGE-PANT,280.7784,65.8616,16/01/2014
115,10,Oda,Ewing,Y,25/01/1935,F,Australia,10,20,COLOUR-GREEN,SIZE-M,RANGE-OTHER,16.2,3.8,9/12/2013
116,1,Lucinda,Lopez,Y,16/10/1947,F,United Kingdom,1,3.58,COLOUR-WHITE,SIZE-XXL,RANGE-SHIRT,2.2912,1.2888,16/04/2014
117,2,Clayton,Haynes,N,7/09/1940,M,United Kingdom,10,176.6,COLOUR-WHITE,SIZE-M,RANGE-SHIRT,125.386,51.214,24/01/2014
118,1,Alfredo,Chase,Y,19/10/1946,M,Australia,3,7.17,COLOUR-WHITE,SIZE-XL,RANGE-OTHER,4.2303,2.9397,12/06/2014
119,1,Delta,Barajas,Y,29/12/1968,F,United Kingdom,5,210.35,COLOUR-GREEN,SIZE-XL,RANGE-PANT,94.6575,115.6925,4/03/2014
120,8,Tristan,Foppen,N,9/06/1972,M,Australia,4,29.04,COLOUR-BLACK,SIZE-L,RANGE-PANT,21.1992,7.8408,7/12/2013
121,10,Dewitt,Wheeler,Y,20/05/1966,M,Australia,3,214.44,COLOUR-BLACK,SIZE-L,RANGE-OTHER,167.2632,47.1768,16/08/2014
122,6,Eldridge,Vermaak,Y,12/11/1953,M,United States,6,119.7,COLOUR-BLACK,SIZE-XL,RANGE-PANT,80.199,39.501,18/08/2014
123,1,Blanch,Graves,Y,15/02/1959,F,United States,6,174,COLOUR-WHITE,SIZE-S,RANGE-PANT,106.14,67.86,7/04/2014
124,5,Andra,Timmer,Y,26/10/1989,F,New Zealand,5,40.65,COLOUR-BLACK,SIZE-XL,RANGE-SHIRT,26.4225,14.2275,26/09/2014
125,4,Buddy,Jans,N,11/07/1976,M,Australia,3,7.35,COLOUR-BLUE,SIZE-XXL,RANGE-JACKET,3.8955,3.4545,20/02/2014
126,7,Hai,Miller,N,22/05/1950,M,United States,4,40.24,COLOUR-BLACK,SIZE-L,RANGE-PANT,29.7776,10.4624,26/10/2013
127,2,Rey,van Bolswaert,Y,11/10/1990,M,United Kingdom,3,85.98,COLOUR-BLACK,SIZE-S,RANGE-SHIRT,60.186,25.794,3/01/2014
128,10,Marquis,Irwin,N,4/08/1937,M,United Kingdom,9,272.25,COLOUR-WHITE,SIZE-XL,RANGE-SHIRT,138.8475,133.4025,30/06/2014
129,10,Ahmad,Leonard,N,20/12/1977,M,United States,4,115.12,COLOUR-WHITE,SIZE-L,RANGE-SHIRT,65.6184,49.5016,11/04/2014
130,7,Sona,Underwood,Y,13/04/1948,F,New Zealand,8,212.32,COLOUR-GREEN,SIZE-XXL,RANGE-SHIRT,131.6384,80.6816,22/02/2014
131,6,Marvella,Sechel,Y,21/09/1992,F,United Kingdom,2,35,COLOUR-GREEN,SIZE-XXL,RANGE-PANT,25.55,9.45,10/01/2014
132,5,Berry,Crosby,Y,18/03/1948,M,Australia,9,65.88,COLOUR-BLACK,SIZE-S,RANGE-SHIRT,38.2104,27.6696,30/07/2014
133,2,Rolland,Both,N,23/02/1950,M,United States,5,126.05,COLOUR-BLUE,SIZE-L,RANGE-OTHER,69.3275,56.7225,27/12/2013
134,8,Blair,Glass,N,15/09/1996,M,Australia,3,34.35,COLOUR-BLUE,SIZE-XXL,RANGE-SHIRT,24.3885,9.9615,24/06/2014
135,5,Diego,Ware,N,27/02/1948,M,United States,10,38.6,COLOUR-BLACK,SIZE-S,RANGE-PANT,31.266,7.334,16/08/2014
136,7,Terisa,Gray,Y,21/10/1966,F,New Zealand,6,191.52,COLOUR-BLACK,SIZE-XL,RANGE-PANT,164.7072,26.8128,28/07/2014
137,7,Wendie,Buning,N,13/11/1986,F,Australia,1,2.16,COLOUR-BLUE,SIZE-M,RANGE-OTHER,1.5768,0.5832,5/09/2014
138,5,Orval,Haars,N,19/03/1960,M,Australia,6,23.94,COLOUR-WHITE,SIZE-M,RANGE-JACKET,14.6034,9.3366,18/11/2013
139,4,Edmond,Fulton,N,24/11/1948,M,United Kingdom,2,48.02,COLOUR-WHITE,SIZE-M,RANGE-OTHER,40.3368,7.6832,22/10/2013
140,2,Georgianna,Hendriks,N,17/12/1995,F,New Zealand,9,92.7,COLOUR-BLACK,SIZE-L,RANGE-PANT,75.087,17.613,12/04/2014
141,7,Rayford,Sosa,N,22/10/1936,M,United Kingdom,1,35.5,COLOUR-GREEN,SIZE-M,RANGE-OTHER,15.975,19.525,4/05/2014
142,2,Cordell,Hobbs,N,28/03/1969,M,United Kingdom,7,557.2,COLOUR-WHITE,SIZE-S,RANGE-OTHER,462.476,94.724,3/09/2014
143,3,Otis,Sloan,N,21/02/1962,M,United States,9,285.66,COLOUR-GREEN,SIZE-S,RANGE-OTHER,185.679,99.981,5/09/2014
144,5,Corie,Hendriks,N,6/10/1961,F,Australia,9,53.91,COLOUR-BLUE,SIZE-M,RANGE-PANT,35.0415,18.8685,5/12/2013
145,3,Risa,Rose,Y,7/09/1968,F,Australia,2,84.54,COLOUR-BLUE,SIZE-XXL,RANGE-SHIRT,62.5596,21.9804,30/11/2013
146,7,Orlando,Velasquez,N,28/03/1936,M,United States,9,198,COLOUR-WHITE,SIZE-M,RANGE-PANT,128.7,69.3,5/04/2014
147,9,Richard,Wilkins,Y,9/12/1935,M,United States,10,491.8,COLOUR-BLACK,SIZE-M,RANGE-SHIRT,285.244,206.556,31/01/2014
148,1,Carmelo,Bean,N,29/06/1996,M,New Zealand,1,19.94,COLOUR-WHITE,SIZE-XL,RANGE-PANT,14.3568,5.5832,11/11/2013
149,5,Rosalinda,Casey,Y,27/02/1955,F,Australia,7,175,COLOUR-BLUE,SIZE-S,RANGE-SHIRT,105,70,15/04/2014
150,2,Yolando,Paul,Y,19/07/1948,F,United States,3,44.7,COLOUR-WHITE,SIZE-S,RANGE-SHIRT,29.502,15.198,5/10/2013
151,5,Rashida,Jongejans,N,13/06/1967,F,New Zealand,10,72.5,COLOUR-BLACK,SIZE-M,RANGE-SHIRT,39.15,33.35,8/04/2014
152,8,Elvina,Ellis,N,26/09/1950,F,New Zealand,5,120.2,COLOUR-BLUE,SIZE-L,RANGE-SHIRT,62.504,57.696,28/08/2014
153,5,Will,Mcclure,N,14/05/1970,M,New Zealand,4,119.88,COLOUR-BLACK,SIZE-XXL,RANGE-PANT,75.5244,44.3556,13/01/2014
154,8,Judson,de Raedt,Y,29/08/1936,M,New Zealand,10,26.9,COLOUR-BLUE,SIZE-L,RANGE-PANT,15.871,11.029,24/02/2014
155,5,Paulene,Frey,N,2/12/1936,F,Australia,10,8.5,COLOUR-GREEN,SIZE-XL,RANGE-JACKET,6.205,2.295,7/09/2014
156,6,Hong,van Neure,Y,5/03/1977,M,New Zealand,5,149.5,COLOUR-BLACK,SIZE-XL,RANGE-PANT,112.125,37.375,13/09/2014
157,1,Marion,Knight,N,9/09/1945,F,New Zealand,10,89.5,COLOUR-WHITE,SIZE-XXL,RANGE-PANT,65.335,24.165,20/03/2014
158,10,Jeanice,Bastiaans,N,27/05/1980,F,United Kingdom,5,299.3,COLOUR-WHITE,SIZE-S,RANGE-JACKET,215.496,83.804,20/02/2014
159,9,Loan,de Ruyter,N,22/11/1977,F,United States,6,335.82,COLOUR-WHITE,SIZE-M,RANGE-SHIRT,248.5068,87.3132,10/09/2014
160,1,Kenda,Payne,N,11/05/1950,F,Australia,4,40.08,COLOUR-BLACK,SIZE-L,RANGE-PANT,29.6592,10.4208,14/06/2014
161,5,Isabell,Oconnor,Y,3/06/1992,F,United Kingdom,6,109.74,COLOUR-GREEN,SIZE-XXL,RANGE-SHIRT,93.279,16.461,19/02/2014
162,9,Alphonse,Sanford,N,20/01/1971,M,New Zealand,3,48.48,COLOUR-BLUE,SIZE-XXL,RANGE-OTHER,21.816,26.664,31/03/2014
163,4,Fletcher,Ingram,Y,18/11/1935,M,United Kingdom,5,125,COLOUR-GREEN,SIZE-S,RANGE-SHIRT,58.75,66.25,4/03/2014
164,7,Eugene,Ferdinandus,N,15/02/1938,M,United Kingdom,5,33,COLOUR-BLUE,SIZE-XL,RANGE-SHIRT,23.1,9.9,6/09/2014
165,5,Chae,Foley,Y,9/10/1956,F,New Zealand,8,970.4,COLOUR-BLACK,SIZE-XXL,RANGE-PANT,572.536,397.864,1/04/2014
166,2,Lavonna,Piloo,N,22/08/1955,F,United States,10,19.2,COLOUR-BLUE,SIZE-S,RANGE-PANT,10.944,8.256,12/11/2013
167,1,Juan,Acevedo,Y,3/06/1993,M,United Kingdom,9,37.26,COLOUR-WHITE,SIZE-L,RANGE-JACKET,27.945,9.315,11/09/2014
168,3,Brice,Kirkland,Y,28/06/1961,M,New Zealand,9,38.61,COLOUR-BLUE,SIZE-XXL,RANGE-JACKET,32.0463,6.5637,25/07/2014
169,7,Genevive,van Westerveld,N,25/09/1975,F,Australia,10,415.1,COLOUR-BLACK,SIZE-XXL,RANGE-SHIRT,232.456,182.644,23/12/2013
170,1,Clemmie,van Gravendijk,N,2/12/1969,F,United States,5,10,COLOUR-BLUE,SIZE-L,RANGE-PANT,5.7,4.3,4/12/2013
171,4,Carry,Small,Y,16/01/1948,F,New Zealand,7,453.53,COLOUR-BLACK,SIZE-XL,RANGE-OTHER,258.5121,195.0179,25/02/2014
